"NVIDIA GeForce 920M",2014,
"NVIDIA GeForce 8600 GTS (Microsoft Corporation - WDDM v1.1)",2015,
"NVIDIA GeForce 610M",2017,
"AMD Radeon HD 7500M/7600M Series",3,-1
"ATI Radeon HD 2400 Series",3,-1
"NVIDIA GeForce GT 630M",2017,
"NVIDIA GeForce GTX 670",2017,
"NVIDIA GeForce 315",2020,
"NVIDIA GeForce GT 735M",2016,
"NVIDIA GeForce GT 520M",2018,
"NVIDIA GeForce GTX 1060 6GB",2022,
"NVIDIA GeForce 920M",2014,
"ATI Radeon HD 5570",3,-1
"NVIDIA GeForce GT 520M",2018,
"NVIDIA GeForce 7100 GS",2016,
"NVIDIA GeForce 7300 GT (Microsoft Corporation - WDDM)",2016,
"AMD Radeon HD 6410D",3,-1
"ATI Radeon HD 6250",3,-1
"AMD Radeon HD 6310 Graphics",3,-1
"NVIDIA GeForce GT 630M",2017,
"NVIDIA GeForce G205M",2021,
"ATI Radeon HD 3600 Series (Microsoft Corporation WDDM 1.1)",3,-1
"NVIDIA GeForce 7600 GS (Microsoft Corporation - WDDM)",2016,
"NVIDIA GeForce GT 440",2019,
"NVIDIA GeForce GTX 560",2018,
"AMD 760G (Microsoft Corporation WDDM 1.1)",3,-1
"AMD Radeon HD 7350",3,-1
"AMD Radeon HD 7620G + HD 8670M Dual Graphics",3,-1
"ATI Mobility Radeon HD 4500/5100 Series",3,-1
"AMD Radeon (TM) R7 360 Series",3,-1
"NVIDIA GeForce 710M",2016,
"ATI Mobility Radeon HD 4530",3,-1
"Intel(R) HD Graphics 5000",5,5
"NVIDIA GeForce GT 740M",2016,
"NVIDIA GeForce 8500 GT",2015,
"NVIDIA GeForce GT 520M",2018,
