,,SURVIVED,
1481225099,SldwwPxOVxTnpvnG,DECEASED,[W]HarleyQuinn
1481225541,KBOkQNeAQlmkHCFq,DECEASED,NonstopLily75
1481225914,ytUJCKczvJHnJapP,DECEASED,NonstopLily75
1481226541,nQAcQunYpRrXhvCb,DECEASED,Daniel5579
1481226752,KFelSmxiFQYQPcmD,DECEASED,Spanish
1481226906,rLnTyYURBvQeLiek,DECEASED,ThinkableConductor65
1481227093,SHsJDYkPqxbTLjSe,DECEASED,Spanish
1481227278,rMPVbQDSaYzjtqto,DECEASED,Konstax2
1481227367,SFlOzkKxDobfMVej,DECEASED,Magnum0702
1481227594,JkwsKqjawUnoOrez,DECEASED,SpuriousShofar14
1481228207,uSfRsUbLqeMxLwPy,DECEASED,SamCruz0511
1481228927,YQDUvhVvpBrIVwOG,DECEASED,KILLER123
1481229266,DwdnBOxjYxiPhXLp,DECEASED,LovelyEarmuffs58
1481229449,qhpJMMqqssvjhjfO,DECEASED,xwarriorx
1481229703,VuSoEzRJnxLUJYIe,DECEASED,JULIO
1481230563,yUECsbZVrNDfeiFC,DECEASED,ThinkableConductor65
1481230764,xAgxzKFosYJsJKEH,DECEASED,ThinkableConductor65
1481231680,vpQhJXIbvZvOcIMZ,SURVIVED,PrincesaD82|Ex
1481231846,RavGoUiGqjMekvTM,DECEASED,Konstax2
1481232271,ByDxaKnSGTqMHVfb,DECEASED,JULIO
1481232480,jccgJyvgCaleBFFX,DECEASED,{MM}Antonipro
1481232720,eNsRPeCGSImKsliO,DECEASED,PrincesaD82|Ex
1481232867,SHnEOenlQPYTnwVv,DECEASED,Daniel5579
1481233001,KCFyhNgnpaLqtNzW,DECEASED,JULIO
1481233896,YeWIPcNxmsuyhUjc,SURVIVED,PrincesaD82|Ex
1481234805,BPimzoKvnrbCDRGK,DECEASED,JULIO
1481235729,XoZbDDbLtXrMnkxD,DECEASED,Snowy
1481235915,LGlxWPgcFbtdpTzf,SURVIVED,TuTosJP
1481236058,uyajbLOfFCDqOTZa,DECEASED,JSV
1481236182,CERmtxsgMuibUoRU,SURVIVED,Tuni
1481236338,fIYDlarEPmlFIWEY,DECEASED,TuTosJP
1481236483,xvQRqEquIoTqmWGu,DECEASED,Snowy
1481236839,qEMzOvtiARWIcYMI,DECEASED,TuTosJP
1481237039,iqzJjQaGtxZjKZEp,DECEASED,Leonardo
1481237923,xvhqQEfsmoloknLU,SURVIVED,NonchalantPen86
1481238272,BVkotvUdUGWJxeQN,DECEASED,ThinkableConductor65
1481239179,rGdKVxFibgWuUDOt,SURVIVED,aquiles
1481240104,dfJTnKUYkakQegbI,DECEASED,Alexandra
1481240326,zfUzGbtjWMjDreCV,DECEASED,Daniel5579
1481240766,VMPBaQsatdAyoqTl,DECEASED,RhogarStorm
1481241218,UvNhrErhSDttQDyR,DECEASED,Thekill036YT
1481241432,KRsrnqBlIzOakXUl,DECEASED,RhogarStorm
1481241617,ploKqSUcpoRkHcfl,DECEASED,JSV
1481242494,tTWaPOovkRHxSFLh,SURVIVED,Daniel5579
1481243520,SnHVWGDdqEYTeOkZ,SURVIVED,Daniel5579
1481245212,QVeqYGcOvkGJFamt,SURVIVED,HurriedClavier45
1481245976,yHMJlwWATSsqNZLF,DECEASED,xwarriorx
1481246110,tNgGSQExHojkAuVq,SURVIVED,xwarriorx
1481246444,aDZECvkpUyzaKZiB,DECEASED,PrincesaD82|Ex
1481246555,cdqvNFtePGjAYNsH,DECEASED,xwarriorx
1481246690,gnCWlrdTsdZCvDpR,SURVIVED,xXJesuProXx
1481247018,pcITbUHqscYAWKOD,DECEASED,Spanish
1481247318,ynazodWwnzLZhxxN,DECEASED,Pock88
1481247556,FNalriOCFQCkuQXC,DECEASED,PrincesaD82|Ex
1481247653,VmlRpEMHmVeJsCLq,DECEASED,PrincesaD82|Ex
1481247798,oDpcGdhIgkXXNZKF,SURVIVED,Pock88
1481248061,ylKEhSNqKceaHdil,DECEASED,PrincesaD82|Ex
1481248564,RqnKFZOYCTRoNbrW,DECEASED,PrincesaD82|Ex
1481249231,BNQIaJQKVjyEgDuB,SURVIVED,David82#eX
1481249792,aKQgUKrggzWBLCNA,DECEASED,[AGZ]Sr.PandaCraft
1481250715,iqIRGqHMpNdgFAek,DECEASED,SWAT2
1481251080,dactLVfnykwHAOCp,DECEASED,SWAT2
1481251949,uJcsVNwXLmngaEDu,SURVIVED,SamCruz0511
1481252646,BaAHyEpUftLvurLl,SURVIVED,SrKashan
1481253222,IMbgaFLaDEkrIUmx,DECEASED,SrKashan
1481253290,TMLwQqcPjDsjIyIj,DECEASED,SameBench71
1481253445,zORYCPiiQYvzihhi,DECEASED,"|BT|/\/\"
1481253579,SIvWDqVYmNlvaaqb,DECEASED,SrKashan
1481253709,VYnzoCBFVAggPDNp,DECEASED,"|BT|/\/\"
1481253967,dUcxqzaIYwqUakfr,SURVIVED,"|BT|/\/\"
1481254171,fQfYivtAcrjUpkBX,DECEASED,SrKashan
1481254290,EJArnScCFSvrjhDK,SURVIVED,SameBench71
1481254678,bvAzXPBooQPyPemi,DECEASED,|BT|4rii^
1481254848,aiwiBxOnnLxqfeno,DECEASED,SameBench71
1481254910,vBLFDwOwhOVFlreK,DECEASED,SamCruz0511
1481255027,TLghpvWeMLNfnRFM,SURVIVED,[IDO.CL]Olezhka
1481255418,XhIGYPmDuyfMRVdG,DECEASED,mateus74
